Node,Group,UpBinRatio
ADM,C5,0.143229166666667
ADM,C6,0.738888888888889
ADM2,C1,0.728890728476821
ADM2,C2,0.665380162099575
ADM2,C3,0.821026282853567
ADM2,C4,0.445501730103806
ADM2,C5,0.0311688311688312
ADM2,C6,0.744444444444445
ADORA2B,C1,0.826572847682119
ADORA2B,C2,0.792358162871478
ADORA2B,C3,0.434292866082603
ADORA2B,C4,0.513396715643907
ADORA2B,C5,0.713541666666667
ADORA2B,C6,0.861111111111111
ADRA2B,C1,0.67135761589404
ADRA2B,C2,0.594980694980695
ADRA2B,C3,0.766374634960367
ADRA2B,C4,0.66637856525497
ADRA2B,C5,0.576623376623377
ADRA2B,C6,0.672222222222222
ADRB2,C1,0.487370600414079
ADRB2,C2,0.669625627170977
ADRB2,C3,0.789319983312474
ADRB2,C4,0.690579083837511
ADRB2,C5,0.935064935064935
ADRB2,C6,0.838888888888889
AGRN,C1,0.677566225165563
AGRN,C2,0.729448089540718
AGRN,C3,0.725907384230288
AGRN,C4,0.529818496110631
AGRN,C5,0.283854166666667
AGRN,C6,0.694444444444445
AGRP,C1,0.610766045548654
AGRP,C2,0.65881898880741
AGRP,C3,0.700041718815186
AGRP,C4,0.709593777009507
AGRP,C5,0.766233766233766
AGRP,C6,0.766666666666667
AGT,C1,0.606788079470199
AGT,C2,0.470088768815129
AGT,C3,0.833959115561118
AGT,C4,0.790657439446367
AGT,C5,0.955844155844156
AGT,C6,0.827777777777778
AHSG,C1,0.674138646741386
AHSG,C2,0.700934579439252
AHSG,C3,0.578529657477026
AHSG,C4,0.704249783174328
AHSG,C5,0.92987012987013
AHSG,C6,0.617977528089888
ALB,C1,0.510347682119205
ALB,C2,0.573745173745174
ALB,C3,0.838965373383396
ALB,C4,0.757130509939499
ALB,C5,0.968831168831169
ALB,C6,0.75
ALK,C1,0.565811258278146
ALK,C2,0.646718146718147
ALK,C3,0.729662077596996
ALK,C4,0.704407951598963
ALK,C5,0.961038961038961
ALK,C6,0.766666666666667
AMELX,C1,0.699321047526673
AMELX,C2,0.616985845129059
AMELX,C3,0.677488252883383
AMELX,C4,0.691629955947137
AMELX,C5,0.74025974025974
AMELX,C6,0.662921348314607
AMELY,C1,0.65990126165661
AMELY,C2,0.658202133062468
AMELY,C3,0.716151501959077
AMELY,C4,0.630291627469426
AMELY,C5,0.636363636363636
AMELY,C6,0.619883040935673
AMFR,C1,0.567880794701987
AMFR,C2,0.52412196063296
AMFR,C3,0.796412181894034
AMFR,C4,0.818339100346021
AMFR,C5,0.992207792207792
AMFR,C6,0.816666666666667
AMH,C1,0.711506622516556
AMH,C2,0.661003861003861
AMH,C3,0.571130579891531
AMH,C4,0.707000864304235
AMH,C5,0.963636363636364
AMH,C6,0.694444444444445
AMHR2,C1,0.672463768115942
AMHR2,C2,0.686607487456581
AMHR2,C3,0.756362119315812
AMHR2,C4,0.547968885047537
AMHR2,C5,0.306493506493506
AMHR2,C6,0.811111111111111
ANGPT1,C1,0.605546357615894
ANGPT1,C2,0.594751061366268
ANGPT1,C3,0.826794657762938
ANGPT1,C4,0.59723422644771
ANGPT1,C5,0.71948051948052
ANGPT1,C6,0.894444444444445
ANGPT2,C1,0.729718543046358
ANGPT2,C2,0.6530297182555
ANGPT2,C3,0.670421360033375
ANGPT2,C4,0.647058823529412
ANGPT2,C5,0.387012987012987
ANGPT2,C6,0.861111111111111
ANGPT4,C1,0.568665377176016
ANGPT4,C2,0.545154639175258
ANGPT4,C3,0.844283276450512
ANGPT4,C4,0.63476733977173
ANGPT4,C5,0.955844155844156
ANGPT4,C6,0.861111111111111
ANGPTL1,C1,0.545529801324503
ANGPTL1,C2,0.588803088803089
