sample,link
TCGA-60-2716,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-60-2716-01Z-00-DX1"">TCGA-60-2716-01Z-00-DX1</a>"
TCGA-60-2724,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-60-2724-01Z-00-DX1"">TCGA-60-2724-01Z-00-DX1</a>"
TCGA-63-7020,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-63-7020-01Z-00-DX1"">TCGA-63-7020-01Z-00-DX1</a>"
TCGA-63-A5M9,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-63-A5M9-01Z-00-DX1"">TCGA-63-A5M9-01Z-00-DX1</a>"
TCGA-63-A5MJ,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-63-A5MJ-01Z-00-DX1"">TCGA-63-A5MJ-01Z-00-DX1</a>"
TCGA-63-A5MN,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-63-A5MN-01Z-00-DX1"">TCGA-63-A5MN-01Z-00-DX1</a>"
TCGA-63-A5MS,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-63-A5MS-01Z-00-DX1"">TCGA-63-A5MS-01Z-00-DX1</a>"
TCGA-64-1678,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-64-1678-01Z-00-DX1"">TCGA-64-1678-01Z-00-DX1</a>"
TCGA-64-5774,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-64-5774-01Z-00-DX1"">TCGA-64-5774-01Z-00-DX1</a>"
TCGA-66-2754,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-66-2754-01Z-00-DX1"">TCGA-66-2754-01Z-00-DX1</a>"
